"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","stddev_roll_belt","var_roll_belt","avg_pitch_belt","stddev_pitch_belt","var_pitch_belt","avg_yaw_belt","stddev_yaw_belt","var_yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","var_accel_arm","avg_roll_arm","stddev_roll_arm","var_roll_arm","avg_pitch_arm","stddev_pitch_arm","var_pitch_arm","avg_yaw_arm","stddev_yaw_arm","var_yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","stddev_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","stddev_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","stddev_yaw_dumbbell","var_yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","stddev_roll_forearm","var_roll_forearm","avg_pitch_forearm","stddev_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","stddev_yaw_forearm","var_yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"10706",10706,"jeremy",1322673096,502698,"30/11/2011 17:11","no",457,1.12,4.87,-87.8,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,0.02,0.03,-20,2,43,48,633,-301,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.58,2.54,-0.72,-112,185,-110,647,167,258,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.81109441,-54.30280353,-80.66993252,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.11,-0.46,-146,130,-204,-541,240,140,151,8.83,109,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72,2.73,-0.16,63,274,-183,-431,771,771,"C"
"10719",10719,"jeremy",1322673097,290631,"30/11/2011 17:11","no",458,1.02,4.81,-88,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,-0.02,-0.05,-14,7,37,46,629,-303,0,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26,-2.31,1.12,48,28,-304,685,-143,-242,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,50.32745776,-54.87192419,-78.07267489,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.19,-0.41,-146,135,-197,-536,263,106,151,-6.22,82.3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,-2.36,-0.11,195,299,-157,-36,701,719,"C"
"10729",10729,"jeremy",1322673097,622659,"30/11/2011 17:11","no",458,0.39,5.05,-88.1,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.02,0,-14,1,49,46,639,-294,0,0,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,-1.59,0.11,-215,246,-33,31,423,487,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,58.58313656,-46.76229503,-77.65180676,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.27,-0.2,-128,157,-199,-537,280,104,154,23.8,164,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,-0.63,-0.25,-85,8,-194,-680,374,658,"C"
"10778",10778,"jeremy",1322673100,254761,"30/11/2011 17:11","no",460,1.12,5.18,-87.9,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,-0.05,-13,5,41,51,633,-307,0,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.51,0.85,-0.66,-231,203,-68,-175,410,510,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.48142431,-55.61999048,-83.68755275,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.21,0.08,-155,121,-218,-549,260,90,137,-1.31,115,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,-3.85,0.72,113,323,-163,-380,795,782,"C"
"10856",10856,"jeremy",1322673103,390669,"30/11/2011 17:11","no",463,1.14,4.83,-87.9,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.02,-0.03,-14,0,38,42,635,-305,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,-0.56,0.34,-285,178,-100,-390,422,413,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,46.50686877,-52.25823682,-83.52222235,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.21,0.07,-138,124,-205,-557,246,83,148,36.1,160,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,-1.01,-0.3,-126,18,-190,-679,365,664,"C"
"11131",11131,"jeremy",1322673115,338681,"30/11/2011 17:11","no",475,0.75,4.43,-87.9,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,-0.02,-11,3,40,47,630,-294,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-0.29,0.56,83,76,-113,631,69,327,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,81.82000433,-30.10557625,-66.34862063,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.61,0,-91,224,-189,-294,517,119,133,-8.79,90.7,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.08,-0.03,160,189,-173,-95,728,803,"C"
"11139",11139,"jeremy",1322673115,902689,"30/11/2011 17:11","no",475,0.6,4.8,-87.9,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,-0.02,-13,-1,41,53,633,-305,0,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36,-0.92,0.51,-207,171,-74,71,325,574,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.76999045,-38.43270394,-41.50463665,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,-0.39,-0.85,-106,236,-114,-433,378,157,132,-7.92,91.4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,-0.03,-0.03,167,182,-166,-94,720,818,"C"
"11208",11208,"adelmo",1322832858,540396,"02/12/2011 13:34","no",539,125,-44.4,169,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.11,-0.2,43,47,-159,182,601,-314,23.8,-39.1,-11.3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34,-1.86,0.69,83,-42,-49,730,103,67,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,92.78010868,-14.85470266,-62.00086595,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29,0.77,0.11,-27,146,-106,-400,425,130,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,0.55,0.64,10,380,-34,-39,734,622,"C"
"11303",11303,"adelmo",1322832865,592345,"02/12/2011 13:34","no",543,126,-41.6,165,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.11,-0.15,47,46,-159,166,598,-307,30.9,66.1,-27.6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,-0.53,0.98,-294,-62,-66,-411,447,401,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.43001477,-30.69847113,-93.70733068,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,-0.11,-0.2,-54,91,-144,-545,283,81,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,-1.57,-0.3,-77,549,16,-317,825,722,"C"
"11346",11346,"adelmo",1322832867,728300,"02/12/2011 13:34","no",545,128,-40.8,162,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.11,-0.23,50,43,-164,165,605,-310,-20,71.3,-84.2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.47,0.61,-286,-50,-56,-388,330,544,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.56578818,-31.78253096,-100.0684906,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.05,-0.08,-49,69,-132,-558,217,107,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55,4.22,1.54,-127,482,47,-469,815,1020,"C"
"11361",11361,"adelmo",1322832869,512375,"02/12/2011 13:34","no",546,128,-40.9,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.11,-0.15,51,42,-163,168,598,-317,-20.1,47.7,-85.1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.14,0.03,0.43,-233,-25,63,-159,252,627,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.16957615,-27.75232157,-97.50905046,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.03,-0.03,-47,84,-142,-571,235,61,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.71,0.9,98,234,-41,265,432,492,"C"
"11385",11385,"adelmo",1322832870,408379,"02/12/2011 13:34","no",547,127,-40.4,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.13,-0.18,50,45,-161,163,606,-311,-21.5,-30,-23.4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.56,0.85,94,-109,-48,715,-44,220,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3440618,-36.17083205,-95.5545866,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.03,-0.11,-52,67,-120,-544,267,87,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,0.16,0.54,61,318,-70,111,604,359,"C"
"11448",11448,"adelmo",1322832872,992285,"02/12/2011 13:34","no",549,128,-40.7,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.11,-0.2,49,47,-161,167,606,-313,-5.17,-29.6,-39.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09,-0.26,0.74,29,-70,-7,647,11,310,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.59567002,-32.1424375,-104.0584559,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.03,-0.18,-52,65,-142,-565,252,56,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,0.05,0.49,-327,326,13,-699,455,614,"C"
"11452",11452,"adelmo",1322832873,12295,"02/12/2011 13:34","no",550,127,-40.6,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.11,-0.18,52,45,-160,172,604,-305,-9.24,-35.4,-33.2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85,-0.32,0.77,69,-88,-33,695,1,234,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.83415023,-35.56666828,-101.4386798,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0,-0.13,-57,65,-139,-560,248,58,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,0.39,0.23,-335,314,19,-706,431,616,"C"
"11507",11507,"adelmo",1322832876,428296,"02/12/2011 13:34","no",552,128,-41.1,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.11,-0.18,47,44,-162,163,604,-312,-14.8,-40.6,-27.1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,-0.5,0.84,90,-84,-41,717,19,196,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,46.36376907,-30.05409264,-100.4735578,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.13,-0.25,-47,71,-134,-559,244,63,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,0.14,0.31,-339,264,35,-707,379,648,"C"
"11518",11518,"adelmo",1322832876,876518,"02/12/2011 13:34","no",552,127,-41.1,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.11,-0.18,48,44,-159,164,606,-313,-20.3,-29.8,-25.3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61,-0.8,0.87,28,-79,-27,630,65,334,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,58.20550701,-25.55264869,-92.09515577,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.1,-0.21,-40,87,-126,-559,228,74,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,1.64,0.82,-317,294,7,-705,438,629,"C"
"11558",11558,"adelmo",1322832878,716267,"02/12/2011 13:34","no",554,127,-41.2,161,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.11,-0.2,47,42,-159,168,600,-319,-5.86,-6.64,-62.9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.96,-0.05,0.46,-128,-54,50,330,140,568,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,49.36718516,-27.85452437,-99.0996028,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.02,-0.08,-47,81,-143,-562,258,53,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,-0.77,0.87,-15,463,9,-127,778,652,"C"
"11573",11573,"adelmo",1322832879,208305,"02/12/2011 13:34","no",555,127,-41,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.13,-0.18,51,40,-159,161,603,-307,-22.4,-36.9,-30.1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,-0.53,0.9,82,-93,-38,691,11,238,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.04808837,-31.97174923,-98.6498376,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.05,-0.28,-52,75,-138,-562,247,62,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,-0.64,-0.1,-256,334,9,-678,577,725,"C"
"11595",11595,"adelmo",1322832880,236357,"02/12/2011 13:34","no",556,127,-41.5,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.11,-0.15,46,45,-159,163,601,-310,-9.22,29.4,-70,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,-0.82,1,-234,-22,12,-154,315,589,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.24139567,-31.03992011,-83.32215301,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,0.55,0.54,-52,102,-126,-551,279,48,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2.14,1.07,-223,397,-9,-611,678,676,"C"
"11638",11638,"adelmo",1322832881,956294,"02/12/2011 13:34","no",557,127,-41.5,162,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.13,-0.2,48,46,-159,173,601,-292,-21.1,-36.2,-29.6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,-0.53,0.9,86,-95,-36,706,18,212,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.51447172,-32.85362237,-102.803244,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0.14,-0.02,-52,65,-138,-572,225,43,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,-1.38,0.13,-174,399,-20,-563,730,649,"C"
"11739",11739,"adelmo",1322832887,276336,"02/12/2011 13:34","no",562,125,-43.1,166,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.11,-0.15,49,43,-155,182,598,-308,-26.5,-36.1,-31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,-0.56,1.12,84,-79,-43,702,23,203,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.70538574,-31.71462911,-99.99130172,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.03,-0.21,-53,75,-143,-561,260,56,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,-1.12,0.07,-38,447,-40,-234,784,554,"C"
"11742",11742,"adelmo",1322832887,436281,"02/12/2011 13:34","no",562,124,-43.3,166,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.11,-0.16,44,44,-157,177,598,-314,-25,-36.5,-30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,-0.45,0.69,93,-65,-28,703,32,204,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.29045867,-31.64365776,-95.07658189,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.11,-0.11,-52,82,-136,-562,253,65,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,-1.35,0.1,-70,465,-39,-348,796,590,"C"
"11811",11811,"adelmo",1322832890,588318,"02/12/2011 13:34","no",565,124,-42.1,165,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.11,-0.15,49,44,-157,167,605,-297,-15.3,-4.59,-45.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,-1.16,0.97,-74,-40,43,405,185,493,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.95177482,-30.66191811,-100.4534377,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,-0.13,-49,72,-137,-565,250,60,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,-0.47,0.13,-278,326,8,-690,555,717,"C"
"11887",11887,"adelmo",1322832868,740304,"02/12/2011 13:34","no",616,128,-40.6,161,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.11,-0.2,49,43,-162,160,605,-321,-29.5,60.9,-105,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,-0.22,0.57,-277,-27,-43,-379,343,541,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.26492296,-31.23824682,-100.684264,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.02,-0.11,-52,74,-143,-566,247,61,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1.03,0.8,78,294,-64,183,519,563,"C"
"11910",11910,"adelmo",1322832863,512378,"02/12/2011 13:34","no",617,126,-41.8,165,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.11,-0.16,45,47,-159,171,603,-316,13.6,-47.7,-16.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92,0.55,1.1,56,-91,-97,767,-75,-67,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.62033849,-22.21308819,-117.1386637,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,-0.05,-0.74,-44,64,-184,-608,182,-6,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0.87,0.44,-304,-27,-14,-199,-557,96,"C"
"11915",11915,"adelmo",1322832863,868305,"02/12/2011 13:34","no",617,126,-41.7,165,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.11,-0.15,45,46,-159,166,611,-317,-95.9,-81.2,93.8,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3,-0.03,0.34,116,-146,-283,550,-153,-436,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.98276164,-33.50762418,-107.5856945,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.24,-0.71,-71,74,-190,-583,195,37,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,3.37,1.64,-292,34,-18,-460,-269,368,"C"
"11945",11945,"adelmo",1322832860,192286,"02/12/2011 13:34","no",619,124,-43.1,167,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.11,-0.16,45,43,-157,172,605,-299,20,-11,-26.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.84,0.75,0.69,-38,-51,25,614,91,327,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.65702191,-24.01455557,-105.5219244,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.02,-0.11,-38,69,-139,-561,244,75,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,1.77,0.69,-268,-48,-11,-190,-552,122,"C"
